stu_num,name,pos,clasroom,week,day,time
66019009,sccrp,p,627,1,4,4
66019009,nzthj,g,868,0,4,2
66019009,csidf,g,188,1,5,2
66019009,plgng,c,949,0,4,5
66019009,ihjwv,h,792,1,1,3
66019009,aprgq,w,820,0,2,0
66019009,ujrzt,e,105,0,6,0
66019009,jduky,g,474,0,1,4
66019009,dglpl,s,647,0,6,4
66019009,vixen,y,499,1,3,0
55768509,nxprv,m,279,1,5,5
55768509,gimdm,c,545,1,4,1
55768509,ttung,x,877,0,6,5
55768509,btzvc,m,505,1,1,2
55768509,qrxjj,q,399,1,5,2
55768509,bvhws,k,543,1,6,3
55768509,jklsg,o,633,1,2,3
55768509,txygu,i,988,0,2,3
55768509,qpgnx,m,696,0,5,4
55768509,vwaah,u,444,1,6,3
62771394,fahrd,b,404,0,0,3
62771394,vycax,m,448,0,2,2
62771394,nirof,x,152,0,3,3
62771394,febfr,r,616,1,1,5
62771394,idqyw,j,263,1,4,4
62771394,euepv,k,340,0,0,2
62771394,hecac,p,493,1,1,3
62771394,rfwxo,n,787,0,0,0
62771394,hxrdu,b,898,0,4,1
62771394,naazl,p,819,1,6,2
49952447,ouqjy,h,910,1,6,0
49952447,muibo,h,643,1,6,1
49952447,qheny,d,746,0,0,2
49952447,suxed,x,833,0,4,0
49952447,bwbqq,k,485,0,0,4
49952447,sqesd,i,160,0,4,4
49952447,mgplf,q,816,0,1,3
49952447,tzebf,x,404,1,6,4
49952447,rtozo,a,733,0,0,3
49952447,byhbg,x,146,1,4,1
52041589,liehj,v,152,1,6,3
52041589,ufxhv,c,937,1,1,4
52041589,xvdqz,c,385,1,3,5
52041589,bcqjh,t,960,1,1,0
52041589,xbbzf,w,920,1,5,0
52041589,hvrca,g,402,0,0,2
52041589,rhkkd,a,994,1,5,1
52041589,xzteb,p,844,0,5,2
52041589,pinkl,e,630,1,1,2
52041589,avzzz,t,724,1,1,3
95156272,cnjof,z,454,1,6,3
95156272,oyrkp,n,951,0,6,3
95156272,nnvzw,l,585,1,6,3
95156272,pykop,a,356,1,5,2
95156272,kqsas,v,801,1,6,1
95156272,epfeh,z,901,1,2,1
95156272,vpvln,a,116,1,1,3
95156272,whhbx,g,712,1,4,4
95156272,oufdq,x,763,0,0,5
95156272,uvyro,j,950,0,6,1
11151388,oavxl,a,202,0,4,4
11151388,pzaqn,b,331,0,3,4
11151388,nlrwx,c,507,1,6,0
11151388,tlhao,w,896,1,4,1
11151388,evfbi,r,334,1,4,5
11151388,xdbde,w,455,0,5,5
11151388,cxvsr,v,182,1,1,0
11151388,awrzr,m,486,0,1,0
11151388,xbqqy,z,164,1,6,0
11151388,jrpkc,q,269,1,2,3
24179528,yfxyq,b,249,0,5,3
24179528,jxxco,t,742,1,1,0
24179528,eivdg,s,653,1,5,0
24179528,ryskh,b,251,1,0,5
24179528,xdziy,r,755,1,6,2
24179528,oupkb,l,380,0,3,5
24179528,cfjvr,l,436,1,4,4
24179528,xercx,r,774,0,3,2
24179528,evvkz,b,379,0,3,1
24179528,kidtd,f,654,1,5,0
91660954,yarfs,o,729,0,6,2
91660954,xgmzv,y,526,0,5,5
91660954,thacz,q,698,0,6,4
91660954,oxzno,e,256,1,3,5
91660954,ciguu,i,461,1,2,0
91660954,mtcck,b,315,0,0,5
91660954,zbazg,f,124,0,5,5
91660954,ojnlg,c,749,1,1,2
91660954,ndomj,f,589,0,1,5
91660954,ytmrj,g,205,1,4,3
80996217,wpovt,s,791,1,2,2
80996217,bngjn,e,599,1,4,4
80996217,aaacx,i,326,0,3,0
80996217,xeeev,r,949,0,2,3
80996217,wwjqz,j,355,1,2,1
80996217,csppa,i,421,0,2,3
80996217,exlvi,q,880,0,5,3
80996217,ejmbw,g,973,1,2,5
80996217,uiqvc,o,963,0,6,2
80996217,qaxwm,n,995,0,4,3
50486572,uovcz,d,127,0,5,4
50486572,luzji,q,316,0,1,0
50486572,yxqot,s,741,1,2,5
50486572,gfbka,c,602,1,3,5
50486572,zmcen,t,257,1,3,0
50486572,rhohx,d,913,1,6,4
50486572,juqwf,f,759,1,0,2
50486572,gdgqz,j,863,1,4,0
50486572,jogpb,n,183,1,6,1
50486572,xwpsu,o,422,0,2,0
47655938,ngtqk,w,122,1,3,5
47655938,xufzf,h,304,1,4,5
47655938,gcnqf,c,153,1,5,3
47655938,hpkqy,h,968,1,2,1
47655938,axynj,t,110,1,4,1
47655938,rsudk,v,644,0,2,3
47655938,sdatu,x,916,0,3,0
47655938,ecvpm,x,762,1,0,3
47655938,sjhez,e,681,0,3,2
47655938,umnfs,g,375,1,2,4
86524861,fdkje,r,824,1,0,3
86524861,uhkda,o,547,0,2,5
86524861,vygpd,l,530,1,3,1
86524861,vkwed,i,623,1,3,1
86524861,tegdq,r,300,1,0,1
86524861,vxyxo,l,549,1,2,4
86524861,jwngf,z,580,0,3,1
86524861,hmfpx,m,997,0,4,0
86524861,qrtbw,z,225,1,5,5
86524861,fhfyv,r,171,1,3,4
65777380,vhmzr,q,826,0,6,2
65777380,yshbi,v,320,1,3,3
65777380,obboi,g,957,1,5,4
65777380,fuolz,o,416,1,1,1
65777380,qjxfj,s,358,0,5,3
65777380,wfhvg,y,607,0,1,1
65777380,uwqqh,r,580,0,2,0
65777380,rkzux,j,723,0,2,4
65777380,zgkwd,m,326,1,1,2
65777380,nwkwu,m,513,1,0,2
29853569,hvtdr,i,203,1,2,2
29853569,jfzmj,s,215,0,3,0
29853569,xmaxp,k,643,0,2,4
29853569,hffls,y,164,1,0,2
29853569,ekctz,q,729,1,0,1
29853569,vxvry,p,894,1,3,5
29853569,xqosc,f,760,1,4,3
29853569,iipwl,s,330,1,1,4
29853569,wxvlm,t,621,0,4,5
29853569,ymvcf,t,253,0,5,0
87864712,cqxox,s,215,1,5,1
87864712,rcmgi,p,137,1,0,2
87864712,adfov,g,457,1,0,4
87864712,gfhhh,i,457,0,1,5
87864712,nowyw,c,234,1,2,3
87864712,nypkf,c,622,1,0,1
87864712,tzura,g,556,1,2,2
87864712,uiaos,j,297,1,3,5
87864712,hcyvy,o,653,1,1,3
87864712,hsgqz,w,453,0,0,0
84083240,edhpj,p,161,0,6,2
84083240,qhmjv,r,897,1,4,3
84083240,rbubt,z,988,0,3,1
84083240,drghd,p,802,0,1,3
84083240,gzupm,g,188,1,6,4
84083240,oyhxf,s,621,0,3,2
84083240,vaspf,b,672,1,0,3
84083240,gvufh,e,697,1,0,3
84083240,pwjco,x,736,1,0,2
84083240,evzhf,x,309,1,0,3
94455484,wifru,g,301,0,2,4
94455484,mkddc,n,912,1,6,4
94455484,bixqt,f,492,1,0,2
94455484,xgopr,v,324,0,1,2
94455484,lmtdg,b,498,0,0,2
94455484,sabbi,f,262,0,0,5
94455484,hfzni,q,485,1,2,2
94455484,evmtq,q,482,0,0,4
94455484,bfphf,u,785,0,3,0
94455484,mcnkq,w,426,1,2,4
67467986,kdyml,b,315,0,3,2
67467986,vxlss,y,872,1,5,3
67467986,omjrh,a,791,1,0,5
67467986,ihkdl,x,993,1,4,3
67467986,vnmol,k,209,1,3,0
67467986,tphmo,v,230,0,5,0
67467986,mgzvx,i,911,1,3,1
67467986,xzder,e,490,1,6,5
67467986,xfqnk,t,779,0,5,3
67467986,znrfw,k,867,1,6,3
66582273,iovig,z,205,0,2,2
66582273,xkeff,p,787,0,3,5
66582273,uinqy,l,367,0,4,5
66582273,clatn,o,623,1,2,4
66582273,lctwb,r,750,0,2,5
