num,name,sex,clas,prof,colle,tel,wechat,year,dorm
66019009,荔何贝,男,4,集成电路设计与集成系统,新东方培训学校,59263872197,ewknc,2002,c34
55768509,元达筠,女,4,信息工程,挖掘机研究所,19112795645,oexyh,2009,638
62771394,颖乐海,女,4,电子信息工程,新东方厨师学校,18553570372,aijtt,2007,377
49952447,良娜文,男,10,资源环境与城乡规划管理,挖掘机研究所,70711689496,fdtgf,2008,8a1
52041589,生平竹,男,10,资源环境与城乡规划管理,中国科学院,14378336079,qoici,2006,c73
95156272,毛苑莉,女,8,自动化,篮翔智能研究院,36406753528,mdigj,2012,3ab
11151388,花颖伟,男,1,信息工程,中国科学院,73746022919,qzupg,2011,574
24179528,兴常祥,男,7,电子科学与技术,中国科学院,48377617030,rsvnx,2011,9c8
91660954,育任罗,男,4,地球化学,中国科学院,44227559680,ucnzb,2014,ba8
80996217,唐韦臧,女,6,软件工程,篮翔智能研究院,89547980444,dhjuj,2009,963
50486572,枝李蒋,女,11,集成电路设计与集成系统,中国科学院,22794535837,tasgl,2018,1a3
47655938,芬唐仁,男,13,通信工程,中国科学院,93434952077,wloac,2014,2c3
86524861,禹莉霭,女,13,电子信息工程,篮翔智能研究院,61423645197,tmagh,2008,73a
65777380,君何妹,女,14,天文学类天文学,中国科学院,55789666232,cpedc,2020,57b
29853569,廉秦婵,女,3,集成电路设计与集成系统,挖掘机研究所,37870192087,ehbvp,2013,846
87864712,廉光莉,女,12,地球化学,新东方培训学校,58620351868,cxoxs,2013,299
84083240,婷卫雁,女,6,电气工程与自动化,新东方培训学校,70533998530,qyqbs,2004,962
94455484,方辉云,女,8,天文学类天文学,挖掘机研究所,38707113643,buvms,2013,c5b
67467986,生汤凤,女,19,光源与照明,李政道学院,36849486813,vynwx,2006,569
66582273,郝红武,男,3,通信工程,杨振宁理学院,15694816092,zjklz,2016,5c6
26714308,柳元谢,男,11,电气工程及其自动化,新东方厨师学校,31972660955,xkbez,2018,78a
85692314,峰苗娣,女,7,地质学类地质学,挖掘机研究所,97937518928,pennd,2014,96a
13072467,芸利娣,男,15,集成电路设计与集成系统,新东方厨师学校,92523133554,xhkwl,2011,8ac
31621775,辉达娥,男,11,软件工程,中国科学院,31207002482,hfmng,2009,279
81698510,春青湛,男,10,自动化,篮翔智能研究院,42586317189,elphq,2007,49b
14620372,星琳沈,男,3,生物医学工程,篮翔智能研究院,94365327032,apahl,2010,b92
28995770,姜生姬,男,5,软件工程,新东方厨师学校,74110800927,btjlb,2004,626
68539579,璐星郎,男,2,地理信息系统,新东方厨师学校,48061369793,qpmzq,2020,553
19790724,康富巧,女,17,光电信息工程,挖掘机研究所,49484825919,aynvq,2018,267
14453066,青全燕,女,9,电气工程与自动化,中国科学院,84061297277,qyfcc,2005,897
71668017,晶全鲍,男,14,地质学类地质学,篮翔智能研究院,98544680012,uzkyw,2000,957
25160205,芳菊苗,女,3,软件工程,篮翔智能研究院,12819150041,hfexv,2001,7b4
