stu_num,name,pos,clasroom,week,day,time
96481278,uaunt,y,545,1,4,5
96481278,oitvk,b,315,1,3,4
96481278,ayxwx,e,589,1,5,1
96481278,xtnka,m,162,1,1,4
96481278,mkgpv,a,719,1,0,4
96481278,pyfdi,l,123,1,1,2
96481278,aryzg,c,499,1,0,2
96481278,uavkm,d,203,1,0,1
96481278,gmmgv,q,565,0,6,5
96481278,kjtkr,c,331,0,5,4
96481278,snhrz,g,975,0,4,4
96481278,rmppo,a,330,0,3,4
96481278,zkowi,x,138,0,5,1
96481278,fxadm,y,585,0,0,5
96481278,twdjz,m,674,0,0,4
27480059,fpezw,z,996,1,6,5
27480059,qptho,i,120,1,5,5
27480059,qitul,p,711,1,6,3
27480059,sjtni,z,770,1,4,3
27480059,hujqt,r,266,1,5,1
27480059,hrfqr,a,693,1,3,2
27480059,pwwja,a,873,1,2,2
27480059,ytrtp,r,165,1,0,3
27480059,geuin,d,160,1,2,0
27480059,dwyxr,o,950,1,0,1
27480059,qkoad,d,880,1,0,0
27480059,acwrk,v,836,0,6,5
27480059,pnrvt,e,221,0,5,3
27480059,bswvo,s,629,0,4,3
27480059,oqccl,h,940,0,4,2
27480059,wtslu,v,855,0,3,2
27480059,ckbct,o,419,0,3,1
27480059,dybua,i,518,0,2,1
27480059,ttdyz,e,174,0,1,1
97609723,bbzvn,k,551,1,5,5
97609723,lewgd,b,904,1,4,4
97609723,ydqxp,h,245,1,2,5
97609723,ihpqf,x,838,1,5,1
97609723,eeyxj,h,790,1,1,4
97609723,jksip,q,751,1,2,2
97609723,dyukm,c,690,1,0,3
97609723,ltgoo,u,655,1,0,1
97609723,axqkd,c,732,0,6,3
97609723,tbngi,y,183,0,3,5
97609723,mbaha,z,269,0,4,3
97609723,huxju,r,559,0,3,3
97609723,cepgo,m,628,0,1,4
97609723,svphq,l,227,0,0,3
97609723,huxcq,j,863,0,1,1
97609723,gyxuu,r,763,0,1,0
80824311,jvbmn,h,948,1,6,5
80824311,ikmzi,i,868,1,6,3
80824311,nunuy,e,179,1,6,2
80824311,qacfi,j,352,1,3,4
80824311,gfcji,o,699,1,4,2
80824311,tjhir,l,696,1,1,4
80824311,plsgn,z,530,1,0,4
80824311,uxyzq,z,247,1,2,0
80824311,xylxs,g,876,0,4,4
80824311,ndbxt,j,918,0,3,4
80824311,bdkdv,u,132,0,5,1
80824311,eqjgu,a,398,0,2,3
80824311,qfnwj,r,590,0,2,2
80824311,wdual,n,162,0,2,0
80824311,ujqwk,q,873,0,0,1
87046130,bgrjw,z,331,1,6,4
87046130,ryxrc,c,342,1,5,4
87046130,eiorf,v,470,1,4,4
87046130,napoi,z,854,1,6,1
87046130,dlzsx,r,227,1,1,4
87046130,lymok,v,479,1,1,3
87046130,lpret,p,900,1,2,1
87046130,lfimm,t,328,1,2,0
87046130,sxinf,g,532,0,5,4
87046130,kjkic,x,576,0,6,2
87046130,qpnaq,d,703,0,2,5
87046130,setde,g,331,0,0,5
87046130,ufdwu,y,932,0,2,2
87046130,upzlo,x,596,0,1,2
87046130,jpjzd,r,681,0,2,0
87046130,tholr,y,292,0,0,1
22853617,cikfo,k,605,1,6,5
22853617,wvmmy,l,898,1,6,3
22853617,bsujz,a,465,1,5,3
22853617,pwfwn,n,415,1,1,5
22853617,jgkdz,a,829,1,4,0
22853617,aguvt,a,242,1,2,0
22853617,zbtes,b,946,0,5,5
22853617,vdwvd,b,915,0,4,5
22853617,uvvej,b,531,0,5,3
22853617,wpotm,s,798,0,2,5
22853617,ggafv,q,891,0,6,0
22853617,kweuo,y,814,0,0,5
22853617,eqjix,n,557,0,3,1
22853617,alqlz,f,856,0,0,2
12840941,citrv,a,424,1,6,4
12840941,msakr,t,351,1,2,5
12840941,axkcb,u,343,1,1,5
12840941,ulbtg,d,114,1,2,3
12840941,sdpjn,t,199,1,4,0
12840941,hrhsy,n,592,1,3,0
12840941,ehlht,s,416,1,2,0
12840941,fmlqm,d,162,0,6,4
12840941,ccmkj,p,349,0,6,3
12840941,dxuyj,o,552,0,5,3
12840941,xptsf,p,317,0,1,5
12840941,xaeri,j,504,0,4,1
12840941,oaerx,p,844,0,0,4
12840941,rnysz,z,110,0,0,2
12840941,exuio,q,537,0,1,0
12840941,beerj,r,585,0,0,0
26857451,swmmb,c,808,1,6,5
26857451,evwxr,a,809,1,4,4
26857451,qhsfi,o,849,1,6,1
26857451,isevg,a,785,1,3,3
26857451,rorer,v,707,1,0,5
26857451,dsuaw,l,292,1,1,2
26857451,wxysu,a,198,1,1,1
26857451,anwzz,r,483,1,0,0
26857451,cfptz,o,576,0,6,5
26857451,mfzgd,d,586,0,6,3
26857451,xwaro,s,243,0,3,5
26857451,ebkzc,d,448,0,4,3
26857451,trkdm,j,345,0,3,3
26857451,bfoom,q,403,0,0,5
26857451,yjtaa,u,555,0,2,2
26857451,ijinz,k,827,0,0,2
26857451,scmku,w,970,0,1,0
89274344,wbhif,i,494,1,5,5
89274344,naujw,y,463,1,6,3
89274344,ycgyu,x,630,1,4,4
89274344,okpwe,x,816,1,4,2
89274344,aqrhc,n,194,1,2,3
89274344,xgvit,l,744,1,2,2
89274344,mwjjp,q,716,1,0,2
89274344,kylpw,p,978,1,1,0
89274344,xityv,w,914,0,6,5
89274344,mbxsl,k,605,0,5,5
89274344,zmbcn,m,917,0,4,5
89274344,nvmjh,x,644,0,3,5
89274344,sduag,h,625,0,4,3
89274344,lshox,b,968,0,2,4
89274344,gefpl,q,951,0,2,3
89274344,hvubw,u,873,0,1,1
89274344,fhmrs,x,749,0,0,1
61880294,ysxyg,l,497,1,5,5
61880294,lwtza,s,586,1,4,5
61880294,rvanw,o,686,1,5,3
61880294,krcis,u,326,1,6,1
61880294,payqz,o,549,1,1,5
61880294,zkmft,g,995,1,4,0
61880294,jgyex,l,459,1,0,2
61880294,fyhty,b,775,0,6,5
61880294,cotcl,e,885,0,6,4
61880294,izkam,u,228,0,6,3
61880294,orrih,h,701,0,5,3
61880294,ioizn,h,984,0,6,1
61880294,gprys,y,802,0,3,2
61880294,wfiui,z,421,0,4,0
61880294,idkuz,a,111,0,2,1
61880294,goamx,h,141,0,1,1
61880294,tjibz,p,583,0,0,1
61880294,khxfo,k,182,0,0,0
90175458,ttaku,k,891,1,6,3
90175458,aqurn,l,887,1,2,5
90175458,ociui,r,162,1,6,0
90175458,xzzya,u,652,1,1,4
90175458,lxzef,f,346,1,3,1
90175458,afhjf,r,244,1,2,1
90175458,bxqna,p,254,1,0,2
90175458,jwntz,u,119,1,0,0
90175458,mvdey,q,988,0,3,5
90175458,xlcxu,a,327,0,3,4
90175458,kzkft,h,828,0,3,3
90175458,jgowr,a,667,0,0,5
90175458,razgr,v,209,0,1,3
90175458,zugww,n,161,0,1,2
59738083,icsbl,p,766,1,6,4
59738083,yrtgn,s,102,1,3,4
59738083,zboek,p,894,1,1,5
59738083,oklyx,w,417,1,1,4
59738083,nohgf,r,146,1,4,0
59738083,poccr,p,374,1,3,0
59738083,lgjkz,r,614,1,1,1
59738083,rgbli,r,524,0,3,5
59738083,yiynn,v,205,0,5,2
59738083,kgzgb,y,706,0,4,2
59738083,zyxvz,f,278,0,2,3
59738083,ymbqt,s,944,0,0,4
59738083,auxpj,v,410,0,0,2
53432289,xofse,g,353,1,5,3
53432289,kqwdy,h,434,1,6,1
53432289,nahbz,e,390,1,4,2
53432289,vsihp,h,609,1,1,4
53432289,wfoia,c,924,1,0,4
53432289,twtob,c,341,1,1,2
53432289,dxszo,a,898,1,1,0
53432289,alqrq,w,320,0,5,5
53432289,ewsvq,w,149,0,4,4
