num,name,sex,clas,prof,colle,tel,wechat,year,dorm
10141032,安志史,男,13,生物医学工程,新东方培训学校,96665995055,yruhr,2016,636
10355008,岚生邵,女,11,光源与照明,杨振宁理学院,14228206689,ipzoq,2019,c13
10422642,强滕婉,女,1,地理信息系统,李政道学院,96826353787,wyvzn,2001,ab9
10497633,吕许娜,男,12,网络工程,挖掘机研究所,79687367735,lsuyx,2003,8c5
10688716,瑾仁廉,女,19,电气工程与自动化,新东方培训学校,40490386429,ajtsp,2014,382
10718690,天菊乐,女,18,电气工程及其自动化,篮翔智能研究院,56062070439,uqbks,2000,cb8
10851209,晶信宜,男,3,信息显示与光电技术,篮翔智能研究院,50662675843,slair,2010,917
10905431,莉桂真,女,13,地理信息科学与技术,挖掘机研究所,64423865449,wbdwu,2019,b34
11124273,影孔齐,女,1,资源环境与城乡规划管理,中国科学院,85847696929,zttml,2014,686
11168924,华韦眉,男,10,电气工程及其自动化,挖掘机研究所,74145157811,qodig,2011,bac
11215194,枫严舒,女,9,电子科学与技术,中国科学院,93001731584,iirsg,2002,7c2
11313357,芬祥蓓,女,16,信息工程,中国科学院,61933496564,lchyf,2008,c91
11399049,茂钱颖,男,18,计算机科学与技术,李政道学院,53167168276,pvnow,2001,a28
11438548,荔顾雷,男,3,集成电路设计与集成系统,李政道学院,27867433334,uxvkb,2013,335
11721015,周尤冯,男,17,电气工程及其自动化,挖掘机研究所,96225053425,twhbj,2007,97b
11773211,佳娣娟,女,14,电气工程与自动化,李政道学院,47078911292,fkgnz,2015,9ab
11792551,宜潘莎,女,1,集成电路设计与集成系统,中国科学院,17256193338,qgjfs,2016,73b
11823895,花菲祥,女,13,地理信息科学与技术,杨振宁理学院,14411106236,xoaqt,2013,c47
11852794,秦米汤,男,10,地理科学类地理科学,篮翔智能研究院,51974976233,oefhc,2001,5b2
11953263,苏卞秦,女,15,光电信息工程,李政道学院,22893005279,hezci,2011,9c6
11995103,朱中罗,男,8,网络工程,挖掘机研究所,79367971678,jxynf,2008,8a1
12043094,琦戚柳,女,9,生物医学工程,新东方厨师学校,31339918862,apmrs,2013,758
12078038,爱周明,女,18,地理信息系统,新东方培训学校,97015116816,rahga,2013,75c
12206482,信君菲,男,14,电子科学与技术,篮翔智能研究院,11639109779,hhyjl,2001,861
12296515,尤峰莲,女,2,影视艺术技术,挖掘机研究所,29180404360,ejxvp,2010,2bb
12444977,欣瑶利,女,16,光源与照明,新东方培训学校,75225918278,lepnd,2006,978
12483113,秀喻翠,男,3,电子科学与技术,杨振宁理学院,49822679920,gdplr,2009,144
12505247,莉袁萧,男,2,地理信息科学与技术,中国科学院,21773678344,suivh,2020,815
12570061,鲁卞魏,男,1,地理信息系统,挖掘机研究所,33232503637,gdcyg,2007,81a
12625783,贝李杰,男,2,资源环境与城乡规划管理,挖掘机研究所,59545815857,ruuyd,2020,165
12651546,任燕俊,女,17,集成电路设计与集成系统,新东方厨师学校,17263775668,ttezr,2018,96b
12779659,丽华伍,女,2,地理科学类地理科学,李政道学院,20109874081,sfozw,2020,748
12786303,时珠娣,男,3,电气工程与自动化,李政道学院,56260404740,kwdlx,2003,848
12840941,健穆倪,男,6,电气工程及其自动化,新东方培训学校,86318178875,rkuhg,2015,21c
12907129,荣世岑,男,5,天文学类天文学,新东方厨师学校,52904927914,yuxnr,2008,378
12910164,荣菁安,男,10,电气工程与自动化,杨振宁理学院,25573921119,zaqig,2004,982
12945195,凝罗宜,女,7,生物医学工程,新东方培训学校,70820938225,bcadi,2008,a29
12994703,桂鲍茜,男,5,计算机科学与技术,李政道学院,55671564196,rgzsl,2010,435
13001497,思孙许,女,18,集成电路设计与集成系统,李政道学院,84374223484,ixprq,2020,464
13083996,山鲁吕,女,14,信息工程,中国科学院,94959676225,gjcaj,2000,496
13112993,倩罗柔,女,9,影视艺术技术,篮翔智能研究院,97579869479,desjq,2005,868
13160314,勤勤婵,女,8,电气工程与自动化,杨振宁理学院,82752528618,lwiyv,2017,749
13268009,冯星婷,女,14,网络工程,李政道学院,72572530069,nqpzr,2006,246
13313807,兰芝筠,男,9,集成电路设计与集成系统,杨振宁理学院,38109217199,nxtha,2005,436
13337592,杰燕娅,女,7,计算机科学与技术,新东方培训学校,87946766961,soyja,2016,53b
