uni_name,stu_num,join_date,level
vprfk,10141032,2009/01/20,元老
vprfk,10422642,2019/09/24,副社长
vprfk,10497633,2018/05/24,副社长
vprfk,12206482,2004/03/14,社长
vprfk,12570061,2003/06/28,副部长
vprfk,13083996,2012/09/14,副社长
vprfk,13313807,2014/01/22,部长
vprfk,13598900,2001/09/26,元老
vprfk,14031081,2020/05/11,成员
vprfk,14457693,2012/02/27,社长
vprfk,14743496,2005/04/15,成员
vprfk,15530624,2004/05/23,副社长
vprfk,15590568,2015/04/18,社长
vprfk,16275015,2008/05/24,部长
vprfk,17037887,2005/01/13,社长
vprfk,17840895,2010/07/22,社长
vprfk,18211183,2000/07/28,社长
vprfk,18992288,2015/05/11,副社长
vprfk,19366378,2019/06/16,社长
vprfk,19491456,2010/02/20,副社长
vprfk,19935016,2017/02/21,成员
vprfk,20191977,2016/03/28,社长
vprfk,21462907,2006/06/11,元老
vprfk,21464743,2006/03/13,元老
vprfk,21885331,2004/09/16,成员
vprfk,22623555,2010/06/17,社长
vprfk,22835611,2015/07/14,部长
vprfk,23397084,2003/04/22,成员
vprfk,23476149,2004/02/18,社长
vprfk,23531100,2016/02/23,副部长
vprfk,23641672,2002/04/19,成员
vprfk,24925531,2003/09/22,元老
vprfk,25137603,2000/03/23,副社长
vprfk,25378297,2010/06/23,社长
vprfk,25404379,2008/04/15,副社长
vprfk,26857451,2015/03/12,部长
vprfk,27533960,2014/06/26,成员
vprfk,27554125,2009/09/26,社长
vprfk,28597610,2003/07/11,元老
vprfk,29586578,2013/08/10,副社长
vprfk,29824884,2003/01/14,部长
vprfk,29968976,2018/08/20,部长
vprfk,30470065,2012/04/28,副部长
vprfk,30621796,2016/09/10,社长
vprfk,30735768,2000/08/26,元老
vprfk,30982400,2003/09/23,部长
vprfk,31063689,2018/08/27,副部长
vprfk,32465633,2017/01/20,社长
vprfk,33326634,2008/02/25,部长
vprfk,33759241,2011/03/11,副社长
vprfk,33762448,2006/03/16,副部长
vprfk,33777555,2011/07/12,副社长
vprfk,34768512,2004/01/11,部长
vprfk,34854005,2012/07/13,部长
vprfk,34879546,2017/01/15,副部长
vprfk,36486303,2018/09/16,元老
vprfk,36601405,2012/09/12,副部长
vprfk,38829236,2000/09/19,部长
vprfk,38838217,2018/05/24,部长
vprfk,39183412,2018/06/13,成员
vprfk,39513492,2019/08/26,部长
vprfk,39967646,2011/02/12,副部长
vprfk,41090586,2009/07/10,副部长
vprfk,41644471,2016/02/18,副社长
vprfk,41808167,2010/04/23,元老
vprfk,42034007,2004/03/21,社长
vprfk,42111098,2002/04/25,部长
vprfk,42694038,2018/03/21,社长
vprfk,42724412,2012/04/18,部长
vprfk,43009926,2012/08/12,元老
vprfk,44080545,2016/04/28,副部长
vprfk,44262562,2020/07/20,副社长
vprfk,44980832,2016/06/13,社长
vprfk,45515009,2009/08/12,副社长
vprfk,46577954,2011/07/15,成员
vprfk,46891854,2019/04/20,社长
vprfk,46962298,2005/01/25,副社长
vprfk,47329525,2014/05/12,社长
vprfk,47904611,2002/06/27,元老
vprfk,48115770,2015/05/25,社长
vprfk,48372770,2002/08/23,副社长
vprfk,48648730,2010/03/11,成员
vprfk,49240007,2015/08/27,元老
vprfk,49564562,2008/02/25,成员
vprfk,50179786,2012/03/25,部长
vprfk,50921140,2000/07/10,部长
vprfk,51248204,2014/07/15,成员
vprfk,51629982,2011/04/11,元老
vprfk,51640016,2007/07/19,部长
vprfk,51994847,2004/08/22,社长
vprfk,54135394,2011/09/22,部长
vprfk,54586464,2019/04/24,元老
vprfk,54634549,2016/03/20,副部长
vprfk,55269332,2000/02/24,副社长
vprfk,55906349,2001/02/10,元老
vprfk,55978711,2003/05/15,部长
vprfk,56211126,2010/07/20,部长
vprfk,57262631,2012/04/20,成员
vprfk,58031068,2003/04/28,社长
vprfk,58226211,2003/06/25,副部长
vprfk,59552357,2012/04/10,元老
vprfk,59758137,2019/01/23,成员
vprfk,61186944,2017/03/28,部长
vprfk,61878620,2018/07/26,成员
vprfk,62029499,2009/04/23,部长
vprfk,62309298,2005/09/14,社长
vprfk,62361202,2006/09/24,副部长
vprfk,62989772,2018/06/17,副部长
vprfk,63173480,2015/09/23,副部长
vprfk,64598174,2014/07/14,元老
vprfk,64892707,2013/08/13,副部长
vprfk,65750658,2012/04/17,社长
vprfk,67587188,2002/08/18,部长
vprfk,67873838,2002/07/12,部长
vprfk,68364916,2013/05/15,副部长
vprfk,68978645,2002/01/14,成员
vprfk,68984405,2013/07/20,部长
vprfk,71543046,2001/09/27,元老
vprfk,71815909,2012/06/19,社长
vprfk,72149510,2000/07/11,部长
vprfk,73928108,2018/03/27,成员
vprfk,75365828,2012/01/18,成员
vprfk,75750073,2016/03/27,社长
vprfk,76223983,2012/03/21,元老
vprfk,76292456,2020/05/11,副社长
vprfk,76419445,2006/08/25,副部长
vprfk,76780664,2000/09/23,副部长
vprfk,76865070,2003/08/22,副社长
vprfk,76922359,2014/04/17,副部长
vprfk,77603953,2001/01/23,成员
vprfk,78718303,2010/01/20,副社长
vprfk,79475946,2012/01/12,副社长
vprfk,80011034,2016/08/27,元老
vprfk,80467817,2017/01/19,副部长
vprfk,80537152,2020/05/19,成员
vprfk,80590509,2013/09/10,副部长
vprfk,80648034,2004/04/23,副部长
vprfk,80959368,2013/07/18,副部长
vprfk,81210712,2014/04/15,副部长
vprfk,82275364,2013/09/16,社长
vprfk,82443137,2017/07/18,社长
vprfk,84192739,2011/01/15,社长
vprfk,84672315,2002/01/12,副部长
vprfk,84943205,2007/01/25,元老
vprfk,86216728,2005/06/26,元老
vprfk,88136198,2008/08/11,成员
vprfk,88859994,2014/04/13,部长
vprfk,89835175,2001/09/13,成员
vprfk,89915008,2017/03/22,成员
vprfk,90448314,2019/03/16,副部长
vprfk,90847256,2008/01/13,元老
vprfk,90903080,2008/02/16,成员
vprfk,92002569,2007/03/13,元老
vprfk,92194158,2008/04/19,元老
vprfk,92692285,2010/05/19,副部长
vprfk,93519921,2003/05/14,元老
vprfk,93608139,2005/05/14,成员
vprfk,94003676,2015/09/10,部长
vprfk,94840610,2010/07/17,副部长
vprfk,95028606,2000/05/14,部长
vprfk,95242385,2020/03/22,成员
vprfk,95773976,2008/01/14,元老
vprfk,96395782,2012/02/17,元老
vprfk,96759901,2008/07/15,副部长
vprfk,96817554,2014/08/16,副社长
vprfk,97073708,2015/05/26,成员
vprfk,97609723,2016/04/18,部长
vprfk,97805447,2006/01/24,部长
vprfk,98352305,2009/06/18,副部长
vprfk,98469819,2019/06/16,副部长
vprfk,99037671,2004/08/18,社长
vprfk,99545301,2019/03/25,元老
vprfk,99780347,2010/01/15,社长
geyvc,10422642,2017/07/26,社长
geyvc,11168924,2019/08/25,成员
geyvc,11438548,2006/09/11,成员
geyvc,11995103,2016/05/14,副社长
geyvc,12206482,2001/03/13,元老
geyvc,12444977,2020/01/11,成员
geyvc,13001497,2015/04/25,社长
geyvc,13475453,2007/09/23,成员
geyvc,14241701,2018/07/12,副社长
geyvc,14483939,2001/06/14,元老
geyvc,14672601,2001/04/19,元老
geyvc,15590568,2008/04/21,部长
geyvc,15757801,2013/05/13,副部长
geyvc,16023051,2009/03/10,成员
geyvc,17439201,2006/01/25,社长
geyvc,18013002,2006/08/26,成员
geyvc,18031821,2002/08/21,元老
geyvc,18622687,2006/09/14,社长
geyvc,18687581,2009/09/16,成员
geyvc,18796280,2004/06/28,部长
geyvc,19307257,2017/07/25,元老
geyvc,19648857,2012/07/28,成员
geyvc,19935016,2001/05/15,部长
geyvc,20034473,2011/01/28,元老
geyvc,20191977,2016/07/17,成员
geyvc,20212621,2010/01/13,副部长
geyvc,20213584,2017/09/17,社长
geyvc,20300138,2014/04/24,副社长
geyvc,21462907,2000/01/22,副部长
geyvc,21885331,2000/03/22,副部长
geyvc,22219570,2005/04/17,副社长
geyvc,22567383,2003/09/27,社长
geyvc,22853617,2014/08/16,部长
geyvc,23476149,2012/03/27,副部长
geyvc,25378297,2015/04/26,元老
geyvc,26280120,2010/09/27,社长
geyvc,26348861,2004/04/20,副社长
geyvc,27095179,2011/04/16,元老
geyvc,28060475,2004/07/27,部长
geyvc,28115771,2003/04/27,部长
geyvc,28283093,2001/06/26,社长
geyvc,28597610,2020/09/27,元老
geyvc,29216472,2000/01/15,社长
geyvc,29418751,2019/09/15,副社长
geyvc,29824884,2015/01/21,部长
geyvc,29968976,2018/03/13,副社长
geyvc,30189504,2001/02/28,副部长
geyvc,30640987,2012/07/23,副社长
geyvc,30669626,2009/02/26,成员
geyvc,30735768,2002/07/16,成员
geyvc,31063689,2000/09/27,元老
geyvc,31526689,2003/07/10,副部长
geyvc,32037099,2012/02/18,副部长
